TransactionAmount,TransactionType,Channel,CustomerAge,TransactionDuration,CustomerOccupation,AccountBalance,Cluster
508.68,Credit,Branch,51,127,Engineer,7708.41,0
858.63,Credit,Branch,27,185,Student,1872.96,1
25.36,Debit,ATM,57,78,Engineer,201.04,1
147.62,Debit,Branch,71,133,Retired,2115.8,1
115.02,Debit,Branch,37,175,Doctor,7643.66,0
383.37,Debit,Branch,30,24,Engineer,8901.93,0
98.54,Credit,Online,20,167,Student,9383.43,2
83.24,Credit,Branch,55,164,Doctor,1181.31,1
196.16,Debit,Branch,27,146,Engineer,9418.86,2
129.94,Debit,ATM,32,235,Engineer,7954.92,0
306.9,Debit,Online,46,51,Engineer,9418.08,2
114.98,Debit,Online,59,80,Retired,6144.68,0
756.59,Debit,Branch,27,17,Student,420.65,1
503.76,Debit,Online,22,35,Student,447.82,1
143.03,Debit,ATM,63,147,Retired,7981.45,0
245.54,Debit,ATM,25,180,Student,985.06,1
254.37,Credit,Online,51,174,Engineer,8849.26,0
213.76,Credit,ATM,78,282,Retired,3528.72,1
327.86,Debit,Online,40,104,Engineer,480.16,1
2.5,Debit,Online,47,107,Doctor,12145.27,2
300.08,Credit,Online,68,47,Doctor,13546.75,2
407.65,Debit,Online,26,62,Engineer,8346.64,0
115.83,Debit,Branch,39,167,Engineer,6481.04,0
53.57,Debit,ATM,69,121,Retired,1651.33,1
63.34,Credit,Online,46,165,Doctor,11174.94,2
317.87,Debit,Online,27,91,Student,145.5,1
331.65,Debit,Online,41,61,Engineer,4172.57,0
5.04,Debit,ATM,56,41,Retired,5558.36,0
214.54,Credit,Online,70,247,Doctor,11151.53,2
598.81,Debit,Branch,57,158,Doctor,1415.52,1
841.28,Debit,Online,26,80,Student,1103.64,1
38.15,Debit,Online,26,108,Student,303.68,1
124.72,Debit,Branch,33,105,Engineer,6309.8,0
302.45,Credit,Branch,78,40,Retired,5133.61,0
208.04,Debit,Online,47,273,Engineer,9344.98,2
5.77,Credit,Branch,23,254,Student,1117.97,1
381.33,Debit,ATM,56,75,Doctor,11835.35,2
16.16,Debit,ATM,50,124,Doctor,14401.17,2
486.08,Debit,Online,18,68,Student,1748.69,1
336.39,Debit,Branch,21,18,Student,1000.46,1
234.57,Debit,Online,23,120,Student,263.98,1
6.0,Debit,Online,30,246,Doctor,5442.76,0
227.14,Debit,ATM,18,294,Student,341.94,1
233.74,Credit,Online,66,17,Retired,1066.59,1
113.02,Credit,Branch,69,166,Retired,6077.96,0
45.85,Debit,ATM,20,92,Student,1659.15,1
415.5,Debit,ATM,66,141,Doctor,10113.66,2
265.76,Debit,Online,54,92,Retired,4446.17,0
69.4,Debit,Online,80,113,Retired,6452.77,0
332.93,Credit,Branch,35,293,Engineer,2788.2,1
267.9,Debit,Online,20,160,Student,596.16,1
496.03,Debit,Branch,61,265,Doctor,12904.66,2
376.26,Debit,ATM,37,245,Engineer,9062.4,0
83.02,Credit,Online,36,171,Engineer,9009.56,0
93.26,Credit,Online,20,72,Student,1152.2,1
803.37,Credit,Branch,68,129,Doctor,12168.37,2
35.76,Debit,Branch,23,122,Student,611.86,1
28.53,Debit,Online,62,99,Doctor,8670.53,0
139.53,Credit,Online,53,177,Doctor,10098.86,2
307.57,Debit,Branch,33,285,Doctor,5307.74,0
60.65,Credit,Branch,56,53,Retired,1047.28,1
74.86,Debit,Branch,70,125,Doctor,6921.48,0
117.97,Debit,Branch,51,137,Retired,1475.46,1
231.91,Debit,ATM,34,165,Engineer,112.76,1
126.21,Debit,Branch,75,268,Retired,5669.66,0
304.35,Debit,Branch,31,36,Engineer,4057.1,1
281.85,Debit,ATM,22,109,Student,1585.98,1
777.88,Debit,Branch,31,17,Engineer,6825.55,0
119.18,Debit,Branch,56,96,Retired,5516.5,0
177.19,Debit,Online,76,43,Retired,5343.3,0
260.88,Debit,Branch,22,36,Student,903.05,1
169.47,Debit,Online,24,19,Student,1806.16,1
73.23,Debit,Branch,26,14,Student,787.74,1
792.57,Debit,ATM,19,164,Student,770.37,1
237.06,Debit,Online,71,46,Retired,1182.77,1
34.17,Credit,Online,54,54,Engineer,726.55,1
740.25,Debit,Online,41,123,Doctor,14464.3,2
453.54,Debit,ATM,58,82,Doctor,12046.3,2
300.47,Debit,Branch,73,100,Retired,7885.64,0
110.93,Credit,Branch,19,201,Student,1952.35,1
201.69,Debit,ATM,59,299,Doctor,7328.52,0
399.21,Debit,ATM,59,109,Engineer,3210.39,1
630.36,Debit,ATM,62,52,Retired,1363.65,1
10.94,Credit,ATM,60,245,Engineer,1241.99,1
215.9,Debit,ATM,38,235,Doctor,7873.28,0
226.37,Credit,Branch,49,141,Doctor,9840.04,2
444.89,Credit,Branch,43,101,Doctor,10328.23,2
280.57,Credit,Online,25,24,Student,293.24,1
488.54,Debit,Branch,52,132,Engineer,7486.63,0
3.3,Credit,Branch,50,131,Doctor,11385.37,2
199.39,Debit,Branch,69,165,Retired,7264.79,0
20.36,Debit,Branch,62,75,Retired,2762.48,1
113.64,Debit,Online,62,32,Retired,6675.03,0
493.11,Debit,Branch,53,236,Retired,7432.99,0
307.41,Debit,ATM,19,14,Student,1057.0,1
11.18,Debit,Online,43,161,Doctor,5956.89,0
313.82,Debit,Branch,59,151,Engineer,7261.59,0
51.0,Debit,Branch,64,107,Retired,4943.16,0
140.98,Debit,Branch,60,100,Engineer,8127.48,0
288.04,Debit,ATM,68,63,Retired,1748.02,1
800.55,Debit,ATM,31,108,Engineer,9660.22,2
485.54,Debit,ATM,46,143,Engineer,6371.51,0
521.15,Debit,ATM,54,214,Doctor,9442.47,2
321.79,Credit,ATM,63,61,Retired,5959.2,0
304.93,Debit,ATM,65,158,Doctor,13531.22,2
432.08,Debit,ATM,40,145,Doctor,11500.62,2
694.2,Debit,ATM,61,72,Retired,1389.37,1
116.86,Debit,ATM,55,171,Engineer,6706.56,0
386.81,Credit,Online,57,149,Doctor,7175.29,0
74.88,Debit,ATM,25,202,Student,420.67,1
195.76,Debit,Branch,75,99,Retired,7323.53,0
134.7,Debit,ATM,50,106,Doctor,8395.85,0
890.24,Credit,Online,33,161,Engineer,5140.93,0
361.27,Debit,ATM,63,180,Doctor,7945.57,0
131.56,Debit,Branch,44,42,Doctor,5873.54,0
485.51,Credit,Online,76,37,Retired,3074.45,1
547.87,Debit,ATM,64,131,Retired,6155.76,0
457.3,Debit,Online,28,15,Engineer,8318.29,0
506.24,Debit,ATM,58,64,Engineer,230.09,1
486.59,Debit,Branch,57,119,Retired,2513.56,1
163.68,Debit,Branch,41,292,Doctor,10090.05,2
581.65,Debit,ATM,22,176,Student,480.19,1
52.01,Debit,ATM,48,85,Doctor,1120.88,1
630.24,Debit,ATM,21,62,Student,370.81,1
523.74,Debit,ATM,43,159,Doctor,13498.55,2
217.5,Credit,Branch,46,35,Engineer,3057.4,1
91.48,Debit,ATM,51,141,Doctor,14942.78,2
5.25,Debit,ATM,39,49,Doctor,14143.32,2
54.03,Credit,ATM,56,161,Retired,6736.3,0
736.73,Debit,Branch,48,10,Engineer,3313.07,1
368.91,Debit,Branch,54,14,Doctor,829.71,1
33.06,Credit,Online,53,170,Retired,1540.87,1
66.5,Credit,Online,32,144,Engineer,6820.23,0
177.08,Debit,Online,35,85,Doctor,13475.14,2
588.54,Debit,Branch,32,130,Engineer,714.45,1
173.5,Debit,ATM,21,282,Student,1306.91,1
78.33,Credit,Online,56,189,Engineer,7255.33,0
40.66,Debit,Branch,59,156,Retired,1153.84,1
97.22,Credit,Branch,77,55,Retired,6647.73,0
34.07,Debit,Branch,22,81,Student,8709.77,0
492.06,Debit,Online,23,74,Student,857.9,1
842.01,Credit,Online,53,185,Doctor,509.45,1
73.55,Debit,ATM,51,158,Engineer,2812.06,1
760.53,Debit,Online,57,118,Engineer,6179.91,0
273.08,Credit,Branch,26,134,Engineer,6609.3,0
371.69,Debit,Branch,67,143,Retired,3484.32,1
218.96,Debit,ATM,18,13,Student,754.21,1
227.39,Debit,Online,18,65,Student,751.09,1
237.99,Credit,Branch,39,86,Doctor,8510.09,0
186.6,Debit,Online,58,13,Doctor,1508.72,1
341.15,Debit,Online,18,148,Student,511.37,1
434.58,Debit,ATM,59,215,Doctor,12648.32,2
312.88,Credit,Branch,54,44,Engineer,233.21,1
75.15,Debit,ATM,23,154,Student,1092.92,1
23.3,Debit,ATM,59,161,Engineer,6711.15,0
47.38,Credit,Online,25,61,Student,459.37,1
512.81,Debit,Branch,79,30,Retired,6994.34,0
488.15,Debit,Branch,43,168,Engineer,7071.09,0
12.82,Debit,ATM,44,156,Engineer,9045.19,0
535.91,Debit,Online,43,22,Engineer,9642.12,2
270.72,Credit,Online,26,53,Engineer,6263.96,0
97.98,Debit,Branch,72,18,Retired,7460.33,0
196.08,Debit,Online,61,98,Retired,4233.82,0
251.18,Debit,ATM,42,246,Engineer,8303.9,0
44.52,Debit,Online,28,205,Student,314.28,1
178.87,Debit,Online,35,180,Doctor,5241.23,0
386.68,Debit,Branch,46,128,Doctor,6863.06,0
167.14,Debit,Online,76,20,Retired,3877.73,1
345.22,Debit,Branch,69,253,Retired,4046.58,1
74.85,Debit,ATM,72,117,Retired,2409.73,1
671.73,Debit,Branch,58,54,Engineer,5211.88,0
255.04,Debit,ATM,45,152,Engineer,6217.86,0
45.77,Debit,Online,25,109,Student,5978.12,0
329.69,Credit,Online,26,66,Student,1671.66,1
11.92,Debit,Branch,53,52,Doctor,14611.9,2
47.42,Debit,ATM,64,28,Doctor,8253.52,0
35.99,Debit,Branch,63,129,Retired,4489.79,0
151.19,Credit,Branch,37,96,Doctor,11903.82,2
242.62,Credit,Online,22,234,Student,483.02,1
48.72,Debit,Branch,21,17,Student,816.08,1
43.46,Debit,ATM,25,80,Student,578.06,1
443.79,Debit,ATM,53,87,Retired,3133.85,1
365.14,Debit,Online,68,57,Retired,5894.09,0
757.41,Debit,ATM,22,37,Student,9532.42,2
20.54,Debit,Branch,51,72,Engineer,5327.03,0
475.36,Debit,ATM,34,105,Engineer,2000.6,1
34.74,Debit,ATM,56,24,Retired,6827.57,0
689.54,Debit,Branch,27,93,Student,1633.76,1
211.18,Debit,ATM,73,90,Retired,4069.17,1
211.36,Credit,Branch,51,286,Engineer,7943.47,0
744.41,Credit,Online,39,107,Engineer,8842.47,0
61.43,Debit,Online,24,170,Student,1882.77,1
167.44,Debit,Branch,37,82,Doctor,12526.71,2
361.46,Debit,Online,21,83,Student,4737.84,0
378.85,Debit,Branch,78,126,Retired,2300.53,1
241.11,Debit,Branch,30,55,Doctor,12385.05,2
131.93,Credit,Branch,31,13,Engineer,4547.06,0
20.28,Debit,Online,36,213,Engineer,2047.83,1
415.88,Debit,Branch,70,170,Doctor,10008.33,2
49.99,Debit,ATM,62,139,Retired,2299.64,1
100.66,Debit,Branch,50,144,Doctor,14473.33,2
485.54,Debit,Online,19,148,Student,1533.32,1
321.15,Debit,Branch,46,179,Doctor,7005.05,0
711.3,Debit,Branch,21,51,Student,955.4,1
12.23,Debit,ATM,42,139,Engineer,7844.88,0
350.94,Debit,ATM,20,64,Student,221.56,1
301.85,Debit,Online,54,25,Engineer,6586.19,0
29.34,Debit,Online,65,30,Retired,3944.82,1
231.71,Debit,Branch,27,148,Student,1127.98,1
179.43,Debit,ATM,58,244,Retired,2626.63,1
36.71,Debit,Branch,48,55,Doctor,6459.38,0
138.12,Credit,Branch,53,281,Doctor,1649.69,1
233.24,Debit,ATM,33,72,Engineer,6939.23,0
609.14,Debit,ATM,39,177,Engineer,9033.87,0
436.64,Debit,Branch,31,111,Doctor,14365.18,2
870.43,Debit,Branch,29,55,Doctor,10115.18,2
354.4,Debit,ATM,74,128,Retired,7358.65,0
22.63,Debit,Online,53,112,Engineer,4438.03,0
182.19,Debit,Branch,26,53,Student,1176.1,1
126.81,Debit,Branch,26,290,Engineer,5427.98,0
288.17,Debit,Online,37,50,Engineer,3653.11,1
118.77,Debit,Branch,55,123,Engineer,2104.82,1
651.82,Debit,ATM,21,166,Student,1802.77,1
66.65,Debit,ATM,37,33,Engineer,3559.96,1
98.53,Debit,Branch,69,166,Retired,3564.8,1
138.95,Debit,Online,71,30,Retired,6752.92,0
33.89,Debit,Branch,26,177,Student,1444.75,1
23.71,Debit,Branch,58,164,Doctor,10788.89,2
26.06,Debit,ATM,65,283,Doctor,12893.63,2
17.07,Debit,Branch,27,44,Engineer,2798.15,1
703.89,Debit,Online,46,62,Engineer,3583.67,1
26.55,Debit,ATM,77,228,Retired,3085.38,1
147.4,Debit,Branch,42,259,Engineer,6797.71,0
202.11,Debit,ATM,27,18,Student,746.47,1
308.42,Debit,Branch,75,39,Retired,5427.81,0
11.18,Debit,ATM,53,144,Engineer,7467.3,0
294.15,Debit,Online,38,136,Engineer,6362.16,0
29.58,Debit,Branch,54,121,Engineer,8345.26,0
139.45,Debit,Online,27,31,Student,1305.76,1
432.63,Debit,ATM,29,137,Doctor,13648.36,2
131.43,Debit,Online,43,65,Doctor,1337.5,1
516.72,Debit,ATM,42,128,Engineer,2015.69,1
374.5,Credit,Branch,26,178,Student,1671.51,1
166.13,Debit,ATM,68,227,Doctor,11822.53,2
626.9,Debit,ATM,23,146,Student,587.11,1
466.85,Debit,Branch,56,165,Retired,5422.53,0
788.84,Debit,Online,58,231,Retired,1913.73,1
873.65,Credit,Online,37,59,Doctor,12139.83,2
525.28,Debit,ATM,69,134,Retired,4693.6,0
110.17,Debit,ATM,30,137,Engineer,464.2,1
632.69,Debit,ATM,80,76,Retired,4363.74,0
124.35,Debit,ATM,72,90,Retired,3319.76,1
43.85,Debit,ATM,62,122,Retired,4356.98,0
283.81,Debit,Branch,28,29,Student,1519.35,1
168.53,Debit,ATM,71,112,Retired,5962.58,0
218.59,Credit,Branch,40,123,Engineer,6699.23,0
132.84,Debit,ATM,21,143,Student,822.73,1
157.37,Credit,Branch,42,289,Doctor,13964.31,2
144.77,Debit,Online,20,159,Student,867.32,1
643.22,Debit,ATM,64,93,Doctor,1035.86,1
208.07,Debit,Online,32,36,Doctor,8478.9,0
94.3,Debit,Branch,57,57,Doctor,11088.95,2
295.5,Debit,ATM,59,36,Retired,6280.66,0
30.23,Debit,ATM,44,99,Doctor,481.13,1
112.05,Credit,ATM,26,159,Student,1122.88,1
180.24,Debit,Branch,58,144,Engineer,8431.23,0
13.71,Credit,Online,38,148,Engineer,8342.79,0
96.54,Debit,Branch,58,95,Retired,7182.22,0
79.35,Debit,Online,67,70,Retired,1692.15,1
101.04,Debit,ATM,27,160,Student,1695.57,1
74.42,Debit,Online,49,68,Engineer,6264.21,0
39.66,Debit,Branch,52,169,Engineer,8497.34,0
99.36,Debit,ATM,40,46,Doctor,1272.12,1
123.85,Debit,Online,56,244,Engineer,3959.62,1
426.93,Debit,ATM,19,248,Student,476.19,1
133.73,Credit,Online,25,123,Student,1872.22,1
222.39,Debit,Online,49,73,Engineer,3117.39,1
215.94,Credit,Online,22,140,Student,1841.69,1
826.23,Debit,ATM,29,209,Doctor,7580.59,0
416.37,Debit,Online,35,67,Engineer,7936.91,0
131.46,Debit,Branch,67,258,Retired,6642.33,0
202.86,Credit,Branch,61,149,Doctor,7642.25,0
268.39,Debit,ATM,26,171,Student,136.74,1
137.35,Credit,Online,40,220,Doctor,12662.66,2
712.75,Debit,Branch,44,25,Doctor,8126.06,0
353.82,Debit,ATM,42,143,Doctor,705.75,1
507.25,Debit,Branch,73,143,Retired,5331.57,0
212.74,Debit,Branch,27,128,Engineer,7645.47,0
364.42,Debit,ATM,51,146,Engineer,8119.73,0
195.12,Debit,ATM,46,144,Doctor,6101.15,0
230.61,Debit,Branch,80,204,Retired,2561.42,1
739.28,Credit,Branch,58,47,Doctor,11905.64,2
390.35,Credit,ATM,64,61,Doctor,7095.88,0
242.03,Debit,Online,58,124,Engineer,4382.73,0
242.39,Credit,ATM,18,271,Student,1328.73,1
135.03,Debit,ATM,23,180,Student,1278.0,1
193.54,Debit,Branch,80,267,Retired,2929.51,1
617.36,Debit,Branch,29,61,Engineer,8926.38,0
775.23,Credit,Online,59,38,Doctor,5977.59,0
266.57,Debit,ATM,72,100,Retired,7676.92,0
153.4,Debit,ATM,45,144,Engineer,4657.7,0
5.12,Debit,Branch,34,90,Engineer,3293.01,1
119.11,Debit,ATM,57,131,Engineer,7998.25,0
119.72,Debit,Branch,30,123,Engineer,3435.34,1
107.4,Debit,Online,58,32,Doctor,344.07,1
115.92,Debit,ATM,53,57,Retired,3897.17,1
438.04,Debit,ATM,67,247,Retired,5358.95,0
677.29,Debit,Online,27,287,Engineer,627.79,1
296.0,Debit,Branch,35,248,Doctor,7418.82,0
299.09,Credit,Branch,36,84,Engineer,5615.26,0
461.52,Credit,Branch,24,44,Student,1995.18,1
100.52,Debit,ATM,50,110,Engineer,453.39,1
85.35,Debit,ATM,66,166,Retired,2173.76,1
79.76,Debit,Branch,39,170,Engineer,6452.14,0
778.49,Credit,Online,75,107,Retired,7713.67,0
386.38,Debit,Online,42,135,Engineer,5528.36,0
165.25,Debit,Online,35,106,Doctor,9939.94,2
14.29,Debit,ATM,34,150,Engineer,7016.99,0
232.79,Credit,Branch,55,145,Retired,2661.3,1
92.29,Debit,Branch,54,115,Engineer,2026.32,1
293.97,Debit,Branch,68,153,Retired,7371.85,0
136.32,Debit,Online,19,113,Student,264.83,1
251.06,Debit,Online,36,34,Doctor,10001.66,2
50.17,Credit,ATM,77,35,Retired,7752.14,0
21.4,Debit,Branch,34,258,Engineer,9594.11,2
73.28,Debit,Branch,21,21,Student,1329.41,1
70.23,Debit,ATM,38,260,Doctor,11624.93,2
689.29,Debit,ATM,22,100,Student,168.84,1
745.03,Debit,Online,28,231,Student,160.57,1
54.61,Debit,ATM,58,160,Engineer,7135.64,0
54.05,Debit,Branch,27,146,Student,469.14,1
107.47,Debit,Online,67,144,Retired,7517.5,0
219.63,Debit,ATM,48,44,Doctor,8013.63,0
188.7,Debit,Branch,54,123,Retired,5077.06,0
93.52,Debit,Online,51,97,Engineer,2791.2,1
275.92,Credit,Branch,62,107,Retired,1777.38,1
376.79,Debit,Branch,68,265,Retired,7749.14,0
8.98,Debit,Online,66,56,Retired,4516.76,0
697.32,Debit,Online,68,91,Retired,2016.02,1
17.45,Debit,ATM,18,88,Student,1959.52,1
442.74,Debit,Branch,23,136,Student,1790.27,1
623.9,Debit,ATM,27,249,Student,711.47,1
63.41,Debit,ATM,26,36,Student,1546.22,1
346.85,Debit,ATM,44,88,Doctor,7208.15,0
71.95,Credit,Online,59,53,Engineer,9267.32,2
7.5,Debit,Online,63,36,Retired,6485.78,0
206.46,Debit,ATM,65,279,Retired,3984.38,1
423.11,Debit,ATM,60,47,Engineer,412.78,1
35.84,Credit,Online,54,172,Retired,4795.65,0
88.6,Credit,Branch,28,105,Student,246.57,1
22.46,Debit,Online,54,78,Retired,6631.5,0
334.89,Debit,Online,21,260,Student,1661.68,1
319.27,Credit,Online,54,59,Retired,5504.01,0
144.3,Debit,ATM,18,88,Student,312.19,1
348.7,Credit,Branch,69,149,Retired,2445.58,1
366.21,Debit,ATM,62,181,Doctor,10862.99,2
99.11,Debit,Online,55,12,Retired,5414.87,0
539.35,Debit,ATM,55,127,Retired,3919.44,1
188.99,Debit,Branch,58,92,Engineer,7315.34,0
710.14,Debit,ATM,26,227,Student,465.63,1
308.68,Debit,Online,53,170,Doctor,9992.36,2
166.68,Debit,ATM,57,139,Retired,5141.19,0
0.99,Debit,ATM,45,133,Engineer,4317.85,0
66.58,Debit,Branch,23,79,Student,1636.32,1
223.43,Debit,Branch,77,178,Retired,7932.41,0
659.95,Debit,Online,60,114,Engineer,3927.69,1
634.86,Debit,ATM,27,45,Student,588.5,1
286.5,Credit,Branch,30,60,Engineer,8517.95,0
322.96,Credit,Branch,76,168,Retired,2401.59,1
654.48,Debit,Branch,19,114,Student,6776.41,0
157.97,Debit,Branch,48,140,Doctor,5529.92,0
120.9,Debit,Branch,40,52,Doctor,9009.42,0
254.77,Debit,Branch,57,57,Engineer,5994.87,0
795.96,Debit,Online,65,119,Retired,5468.58,0
149.25,Debit,ATM,39,142,Engineer,5677.52,0
3.42,Credit,Online,43,158,Doctor,14180.21,2
68.19,Credit,Online,40,189,Doctor,9895.1,2
493.42,Debit,Branch,39,111,Engineer,2232.84,1
37.57,Debit,ATM,57,42,Retired,7739.54,0
96.89,Debit,ATM,59,53,Retired,6044.93,0
448.33,Debit,ATM,25,161,Student,922.19,1
8.65,Debit,Online,48,273,Doctor,10778.35,2
65.57,Debit,Online,41,82,Engineer,7513.79,0
539.81,Debit,Online,46,177,Engineer,2051.25,1
363.53,Debit,ATM,63,142,Retired,1038.91,1
64.9,Credit,Branch,51,72,Retired,6854.61,0
358.18,Debit,ATM,18,157,Student,619.86,1
167.2,Debit,Branch,30,84,Doctor,11320.83,2
121.91,Debit,Branch,60,133,Doctor,14510.8,2
137.57,Debit,Online,54,70,Engineer,5103.67,0
534.62,Debit,Online,55,45,Doctor,13793.53,2
463.92,Debit,Online,50,199,Engineer,2403.39,1
320.14,Debit,Online,60,96,Retired,3075.97,1
214.93,Debit,Online,28,52,Student,7835.4,0
660.02,Debit,Branch,20,84,Student,414.43,1
345.81,Debit,Branch,40,135,Engineer,6116.8,0
143.54,Debit,ATM,71,80,Retired,6067.62,0
42.55,Debit,Branch,53,29,Engineer,7341.43,0
541.79,Debit,ATM,22,125,Student,1454.08,1
40.57,Debit,Branch,26,63,Student,1476.91,1
498.67,Debit,Online,28,244,Student,1719.97,1
227.22,Debit,ATM,53,220,Doctor,832.82,1
56.94,Credit,Online,76,74,Retired,7004.63,0
629.82,Debit,ATM,68,159,Retired,6385.69,0
59.44,Debit,Online,35,176,Engineer,5472.03,0
186.69,Debit,Branch,30,54,Engineer,8602.22,0
230.46,Debit,Online,19,179,Student,162.53,1
65.09,Credit,Online,44,159,Engineer,9370.9,2
457.09,Credit,Online,55,63,Engineer,8570.82,0
552.02,Credit,ATM,44,100,Engineer,522.08,1
377.12,Debit,ATM,34,61,Engineer,836.67,1
204.56,Credit,Branch,18,179,Student,364.72,1
420.28,Debit,Branch,35,144,Doctor,8557.32,0
124.59,Debit,Branch,27,171,Student,129.29,1
73.88,Debit,Online,39,34,Doctor,6474.41,0
77.43,Debit,Online,21,169,Student,1380.21,1
245.93,Debit,Branch,54,172,Engineer,7986.63,0
622.41,Debit,ATM,64,125,Doctor,7322.01,0
43.73,Debit,ATM,34,145,Doctor,9929.43,2
2.03,Credit,ATM,33,28,Engineer,3012.31,1
770.65,Debit,Online,31,137,Doctor,7198.8,0
260.31,Debit,Branch,63,113,Doctor,10980.38,2
356.1,Credit,Branch,26,187,Student,868.35,1
27.07,Credit,Branch,80,39,Retired,3773.29,1
119.89,Debit,ATM,67,60,Doctor,6697.77,0
106.39,Debit,Online,37,281,Doctor,9410.99,2
12.04,Debit,Online,37,58,Engineer,6213.32,0
29.38,Credit,Branch,28,63,Student,1663.31,1
319.85,Debit,ATM,60,148,Doctor,711.66,1
350.14,Credit,Online,75,38,Retired,2403.25,1
163.94,Credit,Branch,52,73,Retired,5957.37,0
170.53,Debit,Branch,24,58,Student,801.01,1
